date,hospital_onset_covid
2021/11/17,1064.0
2021/11/18,1065.0
2021/11/19,1039.0
2021/11/20,1069.0
2021/11/21,1066.0
2021/11/22,1013.0
2021/11/23,1007.0
2021/11/24,1081.0
2021/11/25,1064.0
2021/11/26,1075.0
2021/11/27,1077.0
2021/11/28,1094.0
2021/11/29,1028.0
2021/11/30,1053.0
2021/12/01,1123.0
2021/12/02,1151.0
2021/12/03,1157.0
2021/12/04,1178.0
2021/12/05,1169.0
2021/12/06,1121.0
2021/12/07,1120.0
2021/12/08,1239.0
2021/12/09,1213.0
2021/12/10,1246.0
2021/12/11,1284.0
2021/12/12,1230.0
2021/12/13,1132.0
2021/12/14,1138.0
2021/12/15,1265.0
2021/12/16,1213.0
2021/12/17,1198.0
2021/12/18,1293.0
2021/12/19,1233.0
2021/12/20,1221.0
2021/12/21,1143.0
2021/12/22,1241.0
2021/12/23,1219.0
2021/12/24,1266.0
2021/12/25,1297.0
2021/12/26,1326.0
2021/12/27,1359.0
2021/12/28,1479.0
2021/12/29,1850.0
2021/12/30,2097.0
2021/12/31,2144.0
2022/01/01,2261.0
2022/01/02,2295.0
2022/01/03,2313.0
2022/01/04,2542.0
2022/01/05,3057.0
2022/01/06,3281.0
2022/01/07,3477.0
2022/01/08,3543.0
2022/01/09,3658.0
2022/01/10,3387.0
2022/01/11,3641.0
2022/01/12,4502.0
2022/01/13,4690.0
2022/01/14,4721.0
2022/01/15,4668.0
2022/01/16,4668.0
2022/01/17,3846.0
2022/01/18,3942.0
2022/01/19,4741.0
2022/01/20,4658.0
2022/01/21,4654.0
2022/01/22,4515.0
2022/01/23,4450.0
2022/01/24,3503.0
2022/01/25,3832.0
2022/01/26,4522.0
2022/01/27,4160.0
2022/01/28,4143.0
2022/01/29,3927.0
2022/01/30,3795.0
2022/01/31,3338.0
2022/02/01,3025.0
2022/02/02,3523.0
2022/02/03,3261.0
2022/02/04,3133.0
2022/02/05,3002.0
2022/02/06,2979.0
2022/02/07,2571.0
2022/02/08,2486.0
2022/02/09,2875.0
2022/02/10,2789.0
2022/02/11,3195.0
2022/02/12,2469.0
2022/02/13,2385.0
2022/02/14,2106.0
2022/02/15,2040.0
2022/02/16,2381.0
2022/02/17,2092.0
2022/02/18,2026.0
2022/02/19,1960.0
2022/02/20,1920.0
2022/02/21,1993.0
2022/02/22,1725.0
2022/02/23,1995.0
2022/02/24,1705.0
2022/02/25,1657.0
2022/02/26,1926.0
2022/02/27,2012.0
2022/02/28,1702.0
2022/03/01,1406.0
2022/03/02,1691.0
2022/03/03,1509.0
2022/03/04,1371.0
2022/03/05,1365.0
2022/03/06,1282.0
2022/03/07,1455.0
2022/03/08,1167.0
2022/03/09,1480.0
2022/03/10,1186.0
2022/03/11,1157.0
2022/03/12,1414.0
2022/03/13,1378.0
2022/03/14,1022.0
2022/03/15,1050.0
2022/03/16,1317.0
2022/03/17,1315.0
2022/03/18,1279.0
2022/03/19,1223.0
2022/03/20,1257.0
2022/03/21,1205.0
2022/03/22,929.0
2022/03/23,1178.0
2022/03/24,908.0
2022/03/25,880.0
2022/03/26,866.0
2022/03/27,952.0
2022/03/28,1109.0
2022/03/29,1139.0
2022/03/30,1148.0
2022/03/31,879.0
2022/04/01,861.0
2022/04/02,826.0
2022/04/03,843.0
2022/04/04,797.0
2022/04/05,811.0
2022/04/06,857.0
2022/04/07,899.0
2022/04/08,857.0
2022/04/09,868.0
2022/04/10,793.0
2022/04/11,771.0
2022/04/12,797.0
2022/04/13,808.0
2022/04/14,829.0
2022/04/15,819.0
2022/04/16,789.0
2022/04/17,792.0
2022/04/18,764.0
2022/04/19,788.0
2022/04/20,812.0
2022/04/21,850.0
2022/04/22,1100.0
2022/04/23,881.0
2022/04/24,1095.0
2022/04/25,829.0
2022/04/26,855.0
2022/04/27,1185.0
2022/04/28,967.0
2022/04/29,1195.0
2022/04/30,986.0
2022/05/01,897.0
2022/05/02,817.0
2022/05/03,884.0
2022/05/04,1289.0
2022/05/05,1034.0
2022/05/06,1293.0
2022/05/07,1292.0
2022/05/08,1274.0
2022/05/09,1272.0
2022/05/10,969.0
2022/05/11,1335.0
2022/05/12,1125.0
2022/05/13,1402.0
2022/05/14,1143.0
2022/05/15,1137.0
2022/05/16,1026.0
2022/05/17,1075.0
2022/05/18,1514.0
2022/05/19,1245.0
2022/05/20,1297.0
2022/05/21,1218.0
2022/05/22,1233.0
2022/05/23,1240.0
2022/05/24,1168.0
2022/05/25,1355.0
2022/05/26,1619.0
2022/05/27,1951.0
2022/05/28,1595.0
2022/05/29,1611.0
2022/05/30,1535.0
2022/05/31,1483.0
2022/06/01,1737.0
2022/06/02,1659.0
2022/06/03,1683.0
2022/06/04,1649.0
2022/06/05,1652.0
2022/06/06,1183.0
2022/06/07,1236.0
2022/06/08,1634.0
2022/06/09,1754.0
2022/06/10,1377.0
